Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
4.11175, IMU_DATA, 0.49875, -0.590625, -0.0875, -138, -1621, -16395, , , , , 
4.11205, IMU_DATA, 0.520625, -0.6475, -0.135625, -126, -1652, -16295, , , , , 
4.11234, IMU_DATA, 0.5075, -0.60375, -0.083125, -81, -1650, -16322, , , , , 
4.11265, IMU_DATA, 0.538125, -0.63875, -0.118125, -37, -1579, -16375, , , , , 
4.11295, IMU_DATA, 0.51625, -0.599375, -0.109375, -28, -1573, -16399, , , , , 
4.11325, IMU_DATA, 0.5425, -0.643125, -0.118125, -32, -1662, -16371, , , , , 
4.11354, IMU_DATA, 0.53375, -0.651875, -0.109375, -77, -1618, -16391, , , , , 
4.11385, IMU_DATA, 0.55125, -0.63875, -0.135625, -78, -1564, -16378, , , , , 
4.11415, IMU_DATA, 0.51625, -0.63875, -0.118125, -117, -1517, -16358, , , , , 
4.11444, IMU_DATA, 0.555625, -0.660625, -0.14875, -118, -1639, -16448, , , , , 
4.11475, IMU_DATA, 0.538125, -0.62125, -0.135625, -83, -1631, -16372, , , , , 
4.11505, IMU_DATA, 0.564375, -0.660625, -0.126875, -72, -1612, -16400, , , , , 
4.11535, IMU_DATA, 0.546875, -0.665, -0.1225, -70, -1625, -16410, , , , , 
4.11564, IMU_DATA, 0.55125, -0.665, -0.170625, -54, -1632, -16424, , , , , 
4.11595, IMU_DATA, 0.546875, -0.665, -0.13125, -65, -1654, -16306, , , , , 
4.11625, IMU_DATA, 0.55125, -0.651875, -0.126875, -88, -1564, -16305, , , , , 
4.11654, IMU_DATA, 0.564375, -0.65625, -0.153125, -81, -1555, -16403, , , , , 
4.11685, IMU_DATA, 0.56, -0.665, -0.144375, -38, -1585, -16374, , , , , 
4.11715, IMU_DATA, 0.55125, -0.6825, -0.11375, -104, -1665, -16387, , , , , 
4.11744, IMU_DATA, 0.555625, -0.651875, -0.161875, -138, -1574, -16320, , , , , 
4.11774, IMU_DATA, 0.5775, -0.69125, -0.135625, -93, -1687, -16440, , , , , 
4.11805, IMU_DATA, 0.564375, -0.67375, -0.105, -177, -1638, -16449, , , , , 
4.11835, IMU_DATA, 0.573125, -0.69125, -0.161875, -89, -1585, -16468, , , , , 
4.11864, IMU_DATA, 0.581875, -0.695625, -0.118125, -134, -1578, -16441, , , , , 
4.11895, IMU_DATA, 0.5775, -0.713125, -0.135625, -77, -1652, -16379, , , , , 
4.11925, IMU_DATA, 0.595, -0.69125, -0.1225, -96, -1650, -16357, , , , , 
4.11954, IMU_DATA, 0.5775, -0.730625, -0.135625, -73, -1617, -16383, , , , , 
4.11984, IMU_DATA, 0.590625, -0.713125, -0.109375, -120, -1636, -16360, , , , , 
4.12015, IMU_DATA, 0.608125, -0.730625, -0.126875, -108, -1592, -16401, , , , , 
4.12045, IMU_DATA, 0.595, -0.735, -0.126875, -175, -1640, -16357, , , , , 
4.12074, IMU_DATA, 0.6125, -0.721875, -0.0875, -114, -1578, -16410, , , , , 
4.12105, IMU_DATA, 0.581875, -0.721875, -0.1225, -141, -1569, -16378, , , , , 
4.12135, IMU_DATA, 0.634375, -0.735, -0.126875, -40, -1650, -16327, , , , , 
4.12164, IMU_DATA, 0.595, -0.7175, -0.048125, -34, -1615, -16351, , , , , 
3.95166, IMG_DATA, , , , , , , , , , Image_00062 
3.98517, IMG_DATA, , , , , , , , , , Image_00063 
4.19094, IMU_DATA, 0.48125, -0.665, -0.126875, -54, -1527, -16426, , , , , 
4.19125, IMU_DATA, 0.485625, -0.686875, -0.118125, -11, -1605, -16432, , , , , 
4.19155, IMU_DATA, 0.49875, -0.660625, -0.135625, -117, -1584, -16445, , , , , 
4.19184, IMU_DATA, 0.49, -0.643125, -0.105, -90, -1694, -16418, , , , , 
4.19214, IMU_DATA, 0.511875, -0.67375, -0.13125, -106, -1632, -16432, , , , , 
4.19245, IMU_DATA, 0.49, -0.63, -0.118125, -86, -1613, -16443, , , , , 
4.19275, IMU_DATA, 0.53375, -0.660625, -0.118125, -65, -1638, -16482, , , , , 
4.19304, IMU_DATA, 0.49, -0.651875, -0.126875, -61, -1529, -16457, , , , , 
4.19335, IMU_DATA, 0.53375, -0.6475, -0.1225, -64, -1628, -16378, , , , , 
4.19365, IMU_DATA, 0.5425, -0.651875, -0.118125, -149, -1625, -16402, , , , , 
4.19394, IMU_DATA, 0.529375, -0.6475, -0.118125, -72, -1586, -16407, , , , , 
4.19424, IMU_DATA, 0.564375, -0.643125, -0.11375, -88, -1615, -16433, , , , , 
4.19455, IMU_DATA, 0.525, -0.63875, -0.100625, -85, -1628, -16414, , , , , 
4.19485, IMU_DATA, 0.56, -0.65625, -0.118125, -75, -1648, -16378, , , , , 
4.19514, IMU_DATA, 0.56, -0.643125, -0.09625, -98, -1580, -16413, , , , , 
4.19545, IMU_DATA, 0.56, -0.669375, -0.13125, -118, -1644, -16380, , , , , 
4.19575, IMU_DATA, 0.5425, -0.6475, -0.083125, -150, -1600, -16455, , , , , 
4.19604, IMU_DATA, 0.581875, -0.660625, -0.100625, -105, -1559, -16445, , , , , 
4.19634, IMU_DATA, 0.573125, -0.6475, -0.109375, -112, -1590, -16387, , , , , 
4.19665, IMU_DATA, 0.546875, -0.669375, -0.0875, -164, -1620, -16331, , , , , 
4.19695, IMU_DATA, 0.56875, -0.65625, -0.0875, -114, -1591, -16364, , , , , 
4.19724, IMU_DATA, 0.56875, -0.678125, -0.07875, -86, -1540, -16415, , , , , 
4.19755, IMU_DATA, 0.5425, -0.665, -0.083125, -71, -1676, -16427, , , , , 
4.19785, IMU_DATA, 0.56, -0.665, -0.0875, -115, -1703, -16454, , , , , 
4.19814, IMU_DATA, 0.56875, -0.686875, -0.07875, -82, -1634, -16394, , , , , 
4.19844, IMU_DATA, 0.55125, -0.7, -0.07, -112, -1604, -16459, , , , , 
4.19875, IMU_DATA, 0.564375, -0.686875, -0.07875, -101, -1645, -16387, , , , , 
4.19905, IMU_DATA, 0.5775, -0.7175, -0.07875, -77, -1572, -16385, , , , , 
4.19934, IMU_DATA, 0.5775, -0.70875, -0.091875, -102, -1636, -16394, , , , , 
4.19965, IMU_DATA, 0.590625, -0.713125, -0.06125, -123, -1615, -16453, , , , , 
4.19995, IMU_DATA, 0.58625, -0.721875, -0.056875, -52, -1605, -16400, , , , , 
4.20024, IMU_DATA, 0.63, -0.739375, -0.11375, -146, -1657, -16376, , , , , 
4.20054, IMU_DATA, 0.56875, -0.721875, -0.056875, -77, -1629, -16437, , , , , 
4.20085, IMU_DATA, 0.625625, -0.748125, -0.0875, 29, -1591, -16436, , , , , 
4.20115, IMU_DATA, 0.625625, -0.76125, -0.07875, -79, -1563, -16410, , , , , 
4.20144, IMU_DATA, 0.62125, -0.748125, -0.065625, -36, -1666, -16383, , , , , 
4.20175, IMU_DATA, 0.6125, -0.765625, -0.09625, -124, -1654, -16414, , , , , 
4.20205, IMU_DATA, 0.616875, -0.756875, -0.07875, -67, -1652, -16328, , , , , 
4.20234, IMU_DATA, 0.63875, -0.77, -0.091875, -58, -1652, -16353, , , , , 
4.20264, IMU_DATA, 0.62125, -0.74375, -0.07875, -59, -1609, -16339, , , , , 
4.20295, IMU_DATA, 0.616875, -0.765625, -0.083125, -172, -1589, -16412, , , , , 
4.20325, IMU_DATA, 0.62125, -0.765625, -0.105, -119, -1546, -16457, , , , , 
4.20354, IMU_DATA, 0.608125, -0.76125, -0.074375, -46, -1631, -16450, , , , , 
4.20385, IMU_DATA, 0.595, -0.7525, -0.07, -95, -1632, -16445, , , , , 
4.20415, IMU_DATA, 0.616875, -0.739375, -0.109375, -105, -1638, -16443, , , , , 
4.20444, IMU_DATA, 0.564375, -0.77875, -0.065625, -143, -1571, -16446, , , , , 
4.20474, IMU_DATA, 0.6125, -0.74375, -0.0875, -124, -1664, -16392, , , , , 
4.20505, IMU_DATA, 0.595, -0.7525, -0.07, 2, -1619, -16393, , , , , 
4.20535, IMU_DATA, 0.564375, -0.739375, -0.07, -73, -1570, -16398, , , , , 
4.20564, IMU_DATA, 0.581875, -0.74375, -0.07875, -35, -1602, -16384, , , , , 
4.20595, IMU_DATA, 0.5775, -0.77, -0.074375, -72, -1613, -16440, , , , , 
4.20625, IMU_DATA, 0.55125, -0.739375, -0.065625, -118, -1645, -16390, , , , , 
4.20654, IMU_DATA, 0.56, -0.748125, -0.056875, -108, -1641, -16407, , , , , 
4.20684, IMU_DATA, 0.56, -0.7525, -0.065625, -155, -1577, -16469, , , , , 
4.20715, IMU_DATA, 0.525, -0.721875, -0.0525, -118, -1572, -16459, , , , , 
4.20745, IMU_DATA, 0.55125, -0.748125, -0.065625, -87, -1665, -16388, , , , , 
4.20774, IMU_DATA, 0.511875, -0.739375, -0.06125, -97, -1553, -16442, , , , , 
4.20805, IMU_DATA, 0.51625, -0.721875, -0.0525, -84, -1608, -16491, , , , , 
4.20835, IMU_DATA, 0.53375, -0.72625, -0.0525, -92, -1635, -16359, , , , , 
4.20864, IMU_DATA, 0.48125, -0.7, -0.04375, -82, -1628, -16371, , , , , 
4.20895, IMU_DATA, 0.48125, -0.713125, -0.048125, -45, -1691, -16394, , , , , 
4.20925, IMU_DATA, 0.476875, -0.7, -0.048125, -76, -1630, -16445, , , , , 
4.20955, IMU_DATA, 0.49, -0.7175, -0.065625, -67, -1639, -16381, , , , , 
4.20984, IMU_DATA, 0.459375, -0.660625, -0.02625, -110, -1604, -16452, , , , , 
4.21015, IMU_DATA, 0.468125, -0.686875, -0.07, -79, -1595, -16427, , , , , 
4.21045, IMU_DATA, 0.450625, -0.678125, -0.065625, -157, -1599, -16432, , , , , 
4.21074, IMU_DATA, 0.441875, -0.660625, -0.035, -90, -1672, -16416, , , , , 
4.21105, IMU_DATA, 0.4725, -0.660625, -0.0525, -77, -1550, -16439, , , , , 
4.21135, IMU_DATA, 0.42, -0.678125, -0.04375, -61, -1600, -16445, , , , , 
4.21165, IMU_DATA, 0.424375, -0.643125, -0.06125, -84, -1637, -16406, , , , , 
4.21194, IMU_DATA, 0.459375, -0.6475, -0.074375, -94, -1585, -16398, , , , , 
4.21225, IMU_DATA, 0.42, -0.65625, -0.0525, -42, -1594, -16355, , , , , 
4.21255, IMU_DATA, 0.44625, -0.6475, -0.07875, -65, -1647, -16394, , , , , 
4.21284, IMU_DATA, 0.406875, -0.6475, -0.056875, -65, -1576, -16441, , , , , 
4.21315, IMU_DATA, 0.433125, -0.651875, -0.07875, -146, -1626, -16456, , , , , 
4.21345, IMU_DATA, 0.42875, -0.651875, -0.06125, -109, -1564, -16426, , , , , 
4.21375, IMU_DATA, 0.37625, -0.63875, -0.074375, -159, -1635, -16364, , , , , 
4.21404, IMU_DATA, 0.415625, -0.651875, -0.065625, -56, -1578, -16344, , , , , 
4.21435, IMU_DATA, 0.433125, -0.643125, -0.09625, -110, -1604, -16420, , , , , 
4.21465, IMU_DATA, 0.398125, -0.643125, -0.07, -9, -1624, -16418, , , , , 
4.21494, IMU_DATA, 0.41125, -0.669375, -0.07875, -25, -1554, -16496, , , , , 
4.21525, IMU_DATA, 0.415625, -0.6475, -0.07875, -111, -1608, -16422, , , , , 
4.21555, IMU_DATA, 0.39375, -0.65625, -0.065625, -128, -1487, -16360, , , , , 
4.21585, IMU_DATA, 0.42, -0.651875, -0.06125, -89, -1597, -16349, , , , , 
4.21614, IMU_DATA, 0.424375, -0.669375, -0.083125, -69, -1723, -16380, , , , , 
4.21645, IMU_DATA, 0.406875, -0.69125, -0.091875, -78, -1658, -16384, , , , , 
4.21675, IMU_DATA, 0.415625, -0.625625, -0.04375, -132, -1608, -16433, , , , , 
4.21704, IMU_DATA, 0.42875, -0.6825, -0.0875, -211, -1555, -16403, , , , , 
4.21735, IMU_DATA, 0.433125, -0.660625, -0.074375, -107, -1527, -16347, , , , , 
4.21765, IMU_DATA, 0.424375, -0.660625, -0.0875, -126, -1588, -16413, , , , , 
4.21795, IMU_DATA, 0.433125, -0.67375, -0.074375, -180, -1540, -16385, , , , , 
4.21824, IMU_DATA, 0.424375, -0.651875, -0.083125, -86, -1618, -16391, , , , , 
4.21855, IMU_DATA, 0.433125, -0.6825, -0.07, -27, -1662, -16364, , , , , 
4.21885, IMU_DATA, 0.433125, -0.660625, -0.091875, -44, -1579, -16392, , , , , 
4.21914, IMU_DATA, 0.433125, -0.651875, -0.100625, -66, -1502, -16421, , , , , 
4.21945, IMU_DATA, 0.415625, -0.660625, -0.0875, -105, -1612, -16427, , , , , 
4.21975, IMU_DATA, 0.415625, -0.669375, -0.100625, -84, -1576, -16436, , , , , 
4.22005, IMU_DATA, 0.42875, -0.669375, -0.091875, -63, -1629, -16394, , , , , 
4.22034, IMU_DATA, 0.41125, -0.660625, -0.100625, -107, -1522, -16328, , , , , 
4.22065, IMU_DATA, 0.41125, -0.665, -0.0875, -56, -1552, -16412, , , , , 
4.22095, IMU_DATA, 0.406875, -0.6475, -0.11375, -154, -1578, -16307, , , , , 
4.22124, IMU_DATA, 0.406875, -0.665, -0.083125, -130, -1638, -16352, , , , , 
4.22155, IMU_DATA, 0.39375, -0.686875, -0.135625, -21, -1551, -16493, , , , , 
4.22185, IMU_DATA, 0.398125, -0.651875, -0.0875, -121, -1575, -16404, , , , , 
4.22215, IMU_DATA, 0.42, -0.665, -0.105, -73, -1528, -16397, , , , , 
4.22244, IMU_DATA, 0.4025, -0.669375, -0.105, -158, -1549, -16313, , , , , 
4.22275, IMU_DATA, 0.37625, -0.63875, -0.09625, -98, -1673, -16355, , , , , 
4.22305, IMU_DATA, 0.433125, -0.678125, -0.118125, -72, -1621, -16377, , , , , 
4.22334, IMU_DATA, 0.39375, -0.660625, -0.100625, -97, -1586, -16472, , , , , 
4.22365, IMU_DATA, 0.42, -0.669375, -0.109375, -142, -1543, -16437, , , , , 
4.22395, IMU_DATA, 0.424375, -0.669375, -0.109375, -148, -1574, -16374, , , , , 
4.22425, IMU_DATA, 0.415625, -0.665, -0.109375, -154, -1600, -16423, , , , , 
4.22454, IMU_DATA, 0.424375, -0.660625, -0.100625, -62, -1582, -16404, , , , , 
4.22485, IMU_DATA, 0.42875, -0.67375, -0.09625, -173, -1680, -16453, , , , , 
4.22515, IMU_DATA, 0.44625, -0.678125, -0.126875, -181, -1641, -16386, , , , , 
4.22544, IMU_DATA, 0.433125, -0.6825, -0.083125, -88, -1607, -16396, , , , , 
4.22575, IMU_DATA, 0.450625, -0.686875, -0.091875, -93, -1611, -16390, , , , , 
4.22605, IMU_DATA, 0.455, -0.678125, -0.1225, -89, -1581, -16376, , , , , 
