Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
1.52588e-05, IMG_DATA, , , , , , , , , , Image_00000 
0.918371, IMU_DATA, 0.328125, -0.126875, 0.459375, 16370, -438, -820, , , , , 
0.923171, IMU_DATA, 0.494375, 0.0175, -0.02625, 16209, -90, -910, , , , , 
0.927971, IMU_DATA, 0.63, 0.2625, -0.28875, 16234, -230, -724, , , , , 
0.932771, IMU_DATA, 0.53375, 0.455, -0.153125, 16346, -314, -452, , , , , 
0.881039, IMG_DATA, , , , , , , , , , Image_00009 
0.937571, IMU_DATA, 0.485625, 0.60375, -0.28, 16347, -28, -456, , , , , 
0.94237, IMU_DATA, 0.713125, 0.56, -0.415625, 16435, -107, -363, , , , , 
0.947171, IMU_DATA, 0.65625, 0.625625, -0.249375, 16537, -143, -122, , , , , 
0.951971, IMU_DATA, 0.53375, 0.6125, -0.398125, 16410, 97, 68, , , , , 
0.95677, IMU_DATA, 0.573125, 0.4375, -0.4725, 16452, 40, 36, , , , , 
0.961571, IMU_DATA, 0.5075, 0.223125, -0.32375, 16425, 39, 105, , , , , 
0.966371, IMU_DATA, 0.328125, 0.074375, -0.455, 16280, 232, 274, , , , , 
0.97117, IMU_DATA, 0.293125, -0.039375, -0.616875, 16222, 330, 308, , , , , 
0.975971, IMU_DATA, 0.4025, -0.30625, -0.345625, 16284, 192, 262, , , , , 
0.980771, IMU_DATA, 0.415625, -0.616875, -0.07875, 16344, 148, 208, , , , , 
0.98557, IMU_DATA, 0.49875, -0.90125, -0.14, 16354, 279, 118, , , , , 
0.990371, IMU_DATA, 0.538125, -1.12437, -0.13125, 16365, 254, 84, , , , , 
0.995171, IMU_DATA, 0.581875, -1.28625, 0.109375, 16433, 180, 50, , , , , 
0.99997, IMU_DATA, 0.6825, -1.51375, 0.28875, 16434, 97, -129, , , , , 
1.00477, IMU_DATA, 0.79625, -1.78062, 0.328125, 16404, 39, -251, , , , , 
1.00957, IMU_DATA, 0.695625, -1.78062, 0.35875, 16381, -28, -303, , , , , 
1.01437, IMU_DATA, 0.564375, -1.71937, 0.34125, 16380, -26, -402, , , , , 
1.01917, IMU_DATA, 0.406875, -1.65375, 0.258125, 16325, -39, -527, , , , , 
1.02397, IMU_DATA, 0.406875, -1.75875, 0.21, 16339, -114, -710, , , , , 
1.02877, IMU_DATA, 0.485625, -1.84625, 0.18375, 16350, -178, -769, , , , , 
1.03357, IMU_DATA, 0.48125, -1.75437, 0.09625, 16286, -150, -770, , , , , 
