Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
0.0, IMG_DATA, , , , , , , , , , Image_00000 
0.722625, IMU_DATA, 0.49875, -0.678125, -0.20125, 16395, -123, -177, , , , , 
0.727426, IMU_DATA, 0.49875, -0.7175, -0.21, 16378, -98, -178, , , , , 
0.732226, IMU_DATA, 0.5425, -0.70875, -0.249375, 16377, -101, -223, , , , , 
0.737025, IMU_DATA, 0.573125, -0.7525, -0.310625, 16393, -102, -245, , , , , 
0.741826, IMU_DATA, 0.56875, -0.74375, -0.284375, 16393, -120, -230, , , , , 
0.746626, IMU_DATA, 0.555625, -0.735, -0.2625, 16363, -104, -247, , , , , 
0.705902, IMG_DATA, , , , , , , , , , Image_00007 
0.751426, IMU_DATA, 0.468125, -0.660625, -0.205625, 16376, -126, -232, , , , , 
0.756226, IMU_DATA, 0.385, -0.721875, -0.1575, 16380, -140, -232, , , , , 
0.761025, IMU_DATA, 0.354375, -0.735, -0.100625, 16379, -140, -235, , , , , 
0.765826, IMU_DATA, 0.433125, -0.686875, -0.105, 16365, -138, -213, , , , , 
0.770626, IMU_DATA, 0.455, -0.63875, -0.07875, 16410, -180, -211, , , , , 
0.775425, IMU_DATA, 0.4725, -0.608125, 0.039375, 16374, -180, -186, , , , , 
0.780226, IMU_DATA, 0.49875, -0.5775, 0.14875, 16370, -190, -172, , , , , 
0.785026, IMU_DATA, 0.455, -0.599375, 0.2625, 16378, -194, -172, , , , , 
0.789825, IMU_DATA, 0.455, -0.599375, 0.35875, 16353, -215, -154, , , , , 
0.794626, IMU_DATA, 0.503125, -0.6125, 0.39375, 16387, -172, -142, , , , , 
0.799426, IMU_DATA, 0.48125, -0.56875, 0.398125, 16364, -191, -118, , , , , 
0.804225, IMU_DATA, 0.573125, -0.69125, 0.4025, 16381, -201, -153, , , , , 
0.809026, IMU_DATA, 0.564375, -0.70875, 0.459375, 16377, -165, -140, , , , , 
0.813826, IMU_DATA, 0.51625, -0.63875, 0.5075, 16331, -199, -125, , , , , 
0.818625, IMU_DATA, 0.62125, -0.77, 0.5075, 16400, -175, -132, , , , , 
0.823425, IMU_DATA, 0.63, -0.7525, 0.49875, 16378, -178, -136, , , , , 
0.828226, IMU_DATA, 0.56, -0.625625, 0.520625, 16389, -203, -104, , , , , 
0.833025, IMU_DATA, 0.56875, -0.686875, 0.51625, 16398, -190, -138, , , , , 
0.837826, IMU_DATA, 0.555625, -0.6825, 0.455, 16400, -196, -152, , , , , 
