Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
1.44697e+06, IMU_DATA, 111, -145, -14, 308, -727, -16456, , , , , 
1.45177e+06, IMU_DATA, 119, -164, -20, 322, -749, -16450, , , , , 
1.45657e+06, IMU_DATA, 111, -158, -22, 304, -723, -16445, , , , , 
1.46137e+06, IMU_DATA, 91, -131, -17, 320, -730, -16462, , , , , 
1.46617e+06, IMU_DATA, 93, -117, -19, 310, -744, -16445, , , , , 
1.47097e+06, IMU_DATA, 96, -132, -32, 317, -739, -16430, , , , , 
1.47577e+06, IMU_DATA, 86, -149, -35, 318, -741, -16462, , , , , 
1.48057e+06, IMU_DATA, 104, -164, -34, 310, -746, -16432, , , , , 
1.48537e+06, IMU_DATA, 105, -172, -24, 302, -745, -16439, , , , , 
1.49017e+06, IMU_DATA, 92, -151, -13, 305, -734, -16428, , , , , 
1.49497e+06, IMU_DATA, 93, -148, -21, 302, -719, -16418, , , , , 
1.49977e+06, IMU_DATA, 99, -145, -25, 322, -736, -16443, , , , , 
1.50457e+06, IMU_DATA, 94, -145, -20, 314, -716, -16449, , , , , 
1.50937e+06, IMU_DATA, 95, -157, -23, 321, -711, -16428, , , , , 
1.51417e+06, IMU_DATA, 97, -143, -16, 320, -728, -16440, , , , , 
1434720, IMG_DATA, , , , , , , , , , Image_00015 
1.51897e+06, IMU_DATA, 90, -127, -9, 304, -708, -16460, , , , , 
1.52377e+06, IMU_DATA, 95, -138, -5, 318, -738, -16453, , , , , 
1.52857e+06, IMU_DATA, 100, -152, -7, 310, -734, -16430, , , , , 
1.53337e+06, IMU_DATA, 91, -151, -8, 310, -719, -16434, , , , , 
1.53817e+06, IMU_DATA, 97, -150, -6, 301, -742, -16431, , , , , 
1.54297e+06, IMU_DATA, 111, -147, -17, 330, -737, -16456, , , , , 
1.54777e+06, IMU_DATA, 116, -149, -24, 310, -744, -16436, , , , , 
1.55257e+06, IMU_DATA, 107, -155, -18, 328, -743, -16426, , , , , 
1.55737e+06, IMU_DATA, 97, -152, -18, 304, -750, -16448, , , , , 
1.56217e+06, IMU_DATA, 106, -141, -17, 315, -741, -16455, , , , , 
1.56697e+06, IMU_DATA, 111, -134, -14, 304, -734, -16436, , , , , 
1.57177e+06, IMU_DATA, 107, -145, -21, 329, -735, -16456, , , , , 
1.57657e+06, IMU_DATA, 77, -142, -28, 304, -724, -16429, , , , , 
1.58137e+06, IMU_DATA, 67, -125, -17, 333, -716, -16438, , , , , 
1.58617e+06, IMU_DATA, 82, -132, -10, 284, -737, -16449, , , , , 
1.59097e+06, IMU_DATA, 102, -131, -16, 279, -753, -16450, , , , , 
1.59577e+06, IMU_DATA, 107, -137, -20, 301, -748, -16422, , , , , 
1.60057e+06, IMU_DATA, 112, -144, -10, 317, -746, -16452, , , , , 
1.60537e+06, IMU_DATA, 103, -137, -3, 304, -729, -16440, , , , , 
1.61017e+06, IMU_DATA, 113, -142, -9, 310, -716, -16439, , , , , 
1.61497e+06, IMU_DATA, 113, -173, -24, 313, -738, -16449, , , , , 
1.61977e+06, IMU_DATA, 100, -183, -31, 327, -733, -16446, , , , , 
1534708, IMG_DATA, , , , , , , , , , Image_00016 
1.62457e+06, IMU_DATA, 103, -158, -22, 311, -731, -16439, , , , , 
1.62937e+06, IMU_DATA, 102, -146, -22, 312, -724, -16436, , , , , 
1.63417e+06, IMU_DATA, 87, -141, -22, 299, -731, -16424, , , , , 
1.63897e+06, IMU_DATA, 87, -130, -16, 327, -734, -16458, , , , , 
1.64377e+06, IMU_DATA, 106, -135, -11, 303, -742, -16440, , , , , 
1.64857e+06, IMU_DATA, 121, -156, -12, 310, -736, -16436, , , , , 
1.65337e+06, IMU_DATA, 113, -163, -28, 335, -713, -16429, , , , , 
1.65817e+06, IMU_DATA, 106, -162, -30, 332, -741, -16448, , , , , 
1.66297e+06, IMU_DATA, 95, -145, -15, 318, -724, -16448, , , , , 
