Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
16, IMG_DATA, , , , , , , , , , Image_00000 
654658.0, IMU_DATA, 111, -168, -21, 1355, 16234, -736, , , , , 
659458.0, IMU_DATA, 110, -154, -23, 1348, 16238, -743, , , , , 
664258.0, IMU_DATA, 110, -145, -22, 1354, 16218, -755, , , , , 
669058.0, IMU_DATA, 114, -145, -10, 1370, 16222, -764, , , , , 
673858.0, IMU_DATA, 119, -140, -6, 1355, 16210, -752, , , , , 
678658.0, IMU_DATA, 98, -145, -13, 1366, 16215, -745, , , , , 
683458.0, IMU_DATA, 87, -146, -14, 1360, 16225, -744, , , , , 
688258.0, IMU_DATA, 100, -148, -10, 1367, 16231, -742, , , , , 
693058.0, IMU_DATA, 112, -153, -7, 1369, 16241, -766, , , , , 
697858.0, IMU_DATA, 105, -151, -19, 1369, 16234, -738, , , , , 
702658.0, IMU_DATA, 104, -141, -25, 1362, 16245, -742, , , , , 
707458.0, IMU_DATA, 92, -121, -17, 1339, 16209, -742, , , , , 
712258.0, IMU_DATA, 90, -123, -15, 1344, 16241, -773, , , , , 
717058.0, IMU_DATA, 101, -142, -13, 1359, 16218, -749, , , , , 
721858.0, IMU_DATA, 116, -155, -18, 1353, 16230, -756, , , , , 
726658.0, IMU_DATA, 117, -152, -10, 1356, 16249, -752, , , , , 
731458.0, IMU_DATA, 114, -148, -7, 1371, 16222, -752, , , , , 
736258.0, IMU_DATA, 112, -138, -19, 1359, 16228, -750, , , , , 
741058.0, IMU_DATA, 112, -126, -20, 1364, 16225, -759, , , , , 
745858.0, IMU_DATA, 116, -121, -7, 1386, 16216, -740, , , , , 
750658.0, IMU_DATA, 121, -133, -2, 1364, 16223, -747, , , , , 
755458.0, IMU_DATA, 126, -147, -5, 1348, 16245, -742, , , , , 
715576, IMG_DATA, , , , , , , , , , Image_00007 
760258.0, IMU_DATA, 136, -172, -21, 1342, 16212, -738, , , , , 
