Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
0.483182, IMU_DATA, 0.581875, -0.809375, -0.245, 16400, -16, -401, , , , , 
0.487983, IMU_DATA, 0.4725, -0.7525, -0.223125, 16367, 9, -389, , , , , 
0.492783, IMU_DATA, 0.494375, -0.774375, -0.175, 16396, -2, -414, , , , , 
0.497582, IMU_DATA, 0.51625, -0.7525, -0.13125, 16392, -14, -397, , , , , 
0.502383, IMU_DATA, 0.564375, -0.765625, -0.14, 16354, 26, -392, , , , , 
0.507183, IMU_DATA, 0.581875, -0.695625, -0.161875, 16342, 16, -400, , , , , 
0.511982, IMU_DATA, 0.573125, -0.7175, -0.1575, 16399, 18, -405, , , , , 
0.516783, IMU_DATA, 0.65625, -0.800625, -0.144375, 16370, -8, -375, , , , , 
0.521583, IMU_DATA, 0.67375, -0.923125, -0.144375, 16367, 11, -392, , , , , 
0.526382, IMU_DATA, 0.459375, -0.730625, -0.126875, 16377, -15, -382, , , , , 
0.531183, IMU_DATA, 0.3325, -0.520625, -0.118125, 16380, -1, -386, , , , , 
0.535983, IMU_DATA, 0.32375, -0.51625, -0.1225, 16378, 21, -409, , , , , 
0.5065, IMG_DATA, , , , , , , , , , Image_00005 
0.540782, IMU_DATA, 0.3675, -0.634375, -0.105, 16395, -28, -374, , , , , 
0.545583, IMU_DATA, 0.406875, -0.669375, -0.074375, 16387, -6, -379, , , , , 
0.550382, IMU_DATA, 0.494375, -0.72625, -0.105, 16412, -15, -391, , , , , 
0.555182, IMU_DATA, 0.48125, -0.748125, -0.048125, 16395, -16, -377, , , , , 
0.559983, IMU_DATA, 0.468125, -0.765625, -0.02625, 16380, -16, -380, , , , , 
0.564782, IMU_DATA, 0.450625, -0.791875, -0.09625, 16393, 0, -384, , , , , 
0.569582, IMU_DATA, 0.4725, -0.791875, -0.14875, 16368, -37, -372, , , , , 
0.574383, IMU_DATA, 0.511875, -0.72625, -0.126875, 16374, -41, -380, , , , , 
0.579182, IMU_DATA, 0.525, -0.713125, -0.100625, 16393, -52, -392, , , , , 
0.583982, IMU_DATA, 0.441875, -0.7, -0.188125, 16380, -17, -387, , , , , 
0.588783, IMU_DATA, 0.42875, -0.704375, -0.231875, 16372, -11, -393, , , , , 
0.593582, IMU_DATA, 0.459375, -0.7175, -0.135625, 16371, -39, -401, , , , , 
0.598382, IMU_DATA, 0.424375, -0.6825, -0.074375, 16378, -39, -388, , , , , 
