Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
3.05176e-05, IMG_DATA, , , , , , , , , , Image_00000 
0.0328674, IMG_DATA, , , , , , , , , , Image_00001 
0.0672607, IMG_DATA, , , , , , , , , , Image_00002 
0.10025, IMG_DATA, , , , , , , , , , Image_00003 
0.133667, IMG_DATA, , , , , , , , , , Image_00004 
0.172501, IMU_DATA, 0.555625, -0.888125, -0.450625, -114, -1577, -16421, , , , , 
0.172806, IMU_DATA, 0.665, -0.11375, 0.669375, -172, -1681, -16455, , , , , 
0.173111, IMU_DATA, 1.33, -1.11125, 0.56, -129, -1609, -16386, , , , , 
0.173416, IMU_DATA, -0.21875, -0.44625, -0.90125, -88, -1654, -16417, , , , , 
0.173706, IMU_DATA, 1.10687, -1.33437, -0.678125, -123, -1672, -16391, , , , , 
0.174011, IMU_DATA, 0.004375, -0.223125, 0.669375, -109, -1605, -16312, , , , , 
0.174301, IMU_DATA, -0.109375, -0.555625, -0.2275, -100, -1627, -16391, , , , , 
0.174606, IMU_DATA, 0.44625, -0.109375, -0.34125, -174, -1511, -16403, , , , , 
0.174911, IMU_DATA, 0.77875, -0.888125, -0.34125, -131, -1595, -16410, , , , , 
0.175217, IMU_DATA, 0.44625, -0.44625, -0.004375, -146, -1636, -16393, , , , , 
0.175507, IMU_DATA, 0.004375, -0.888125, -0.564375, -164, -1601, -16445, , , , , 
0.175812, IMU_DATA, 0.44625, -0.555625, 0.44625, -188, -1656, -16480, , , , , 
0.176102, IMU_DATA, -0.105, 0.0, 0.109375, -175, -1612, -16381, , , , , 
0.176407, IMU_DATA, 0.555625, -1.66687, -0.336875, -128, -1622, -16362, , , , , 
0.176712, IMU_DATA, 0.336875, -0.223125, 0.669375, -155, -1625, -16440, , , , , 
0.177002, IMU_DATA, 1.11125, -0.888125, -0.2275, -161, -1617, -16353, , , , , 
0.177307, IMU_DATA, 0.336875, -0.109375, -0.004375, -157, -1674, -16412, , , , , 
0.177612, IMU_DATA, 0.669375, -0.441875, 0.109375, -177, -1681, -16459, , , , , 
0.227631, IMG_DATA, , , , , , , , , , Image_00005 
0.25827, IMG_DATA, , , , , , , , , , Image_00006 
0.289825, IMG_DATA, , , , , , , , , , Image_00007 
0.292816, IMU_DATA, -0.660625, 0.555625, 0.441875, -175, -1553, -16366, , , , , 
0.293106, IMU_DATA, 1.6625, -1.66687, -0.2275, -128, -1589, -16422, , , , , 
0.293411, IMU_DATA, 0.336875, -0.665, -0.34125, -191, -1640, -16410, , , , , 
0.293701, IMU_DATA, 1.55312, -0.3325, -0.455, -176, -1610, -16407, , , , , 
0.294006, IMU_DATA, 0.336875, -0.665, 1.34312, -168, -1644, -16399, , , , , 
0.294312, IMU_DATA, 0.665, -0.109375, -0.564375, -167, -1670, -16378, , , , , 
0.294617, IMU_DATA, 1.11125, -1.11125, -0.678125, -121, -1648, -16434, , , , , 
0.294907, IMU_DATA, 0.665, -0.223125, 1.11562, -142, -1587, -16452, , , , , 
0.295212, IMU_DATA, 0.44625, -1.00187, -1.015, -152, -1563, -16392, , , , , 
0.295502, IMU_DATA, 0.77875, -0.3325, 0.105, -143, -1531, -16450, , , , , 
0.295807, IMU_DATA, 0.888125, -0.44625, 0.441875, -119, -1502, -16384, , , , , 
0.296112, IMU_DATA, 1.10687, -1.5575, -0.90125, -151, -1659, -16435, , , , , 
0.296402, IMU_DATA, -0.105, -0.11375, -0.34125, -178, -1702, -16395, , , , , 
0.296707, IMU_DATA, 0.77875, -0.3325, 0.44625, -139, -1651, -16442, , , , , 
0.297012, IMU_DATA, 0.223125, -0.9975, -0.34125, -181, -1578, -16404, , , , , 
0.297302, IMU_DATA, 0.669375, -0.44625, -0.564375, -113, -1571, -16447, , , , , 
0.297607, IMU_DATA, 0.665, -1.00187, 0.44625, -74, -1594, -16468, , , , , 
0.297913, IMU_DATA, 0.555625, -0.555625, -0.34125, -86, -1594, -16438, , , , , 
0.298203, IMU_DATA, 0.77875, -0.555625, -0.678125, -130, -1588, -16424, , , , , 
0.298508, IMU_DATA, 0.555625, -1.00187, 0.3325, -139, -1642, -16390, , , , , 
0.298813, IMU_DATA, 0.9975, 0.0, -0.564375, -117, -1656, -16408, , , , , 
0.299103, IMU_DATA, 1.22062, -1.225, -0.564375, -176, -1577, -16459, , , , , 
0.299408, IMU_DATA, 0.336875, -0.77875, 1.12, -167, -1649, -16368, , , , , 
0.299713, IMU_DATA, 0.77875, -0.665, 0.44625, -206, -1563, -16442, , , , , 
0.300003, IMU_DATA, 1.22062, -0.669375, -2.24875, -149, -1558, -16372, , , , , 
0.300308, IMU_DATA, 0.9975, -0.77875, 1.56625, -147, -1638, -16394, , , , , 
0.300613, IMU_DATA, 0.2275, -1.00187, -0.791875, -92, -1598, -16447, , , , , 
