Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
17, IMG_DATA, , , , , , , , , , Image_00000 
513178, IMG_DATA, , , , , , , , , , Image_00005 
547482.0, IMU_DATA, 111, -146, -20, 44, 16259, -800, , , , , 
552282.0, IMU_DATA, 114, -156, -18, 42, 16285, -809, , , , , 
557082.0, IMU_DATA, 114, -168, -26, 37, 16293, -808, , , , , 
561882.0, IMU_DATA, 110, -167, -29, 41, 16288, -790, , , , , 
566682.0, IMU_DATA, 109, -164, -16, 41, 16256, -826, , , , , 
571482.0, IMU_DATA, 122, -167, -13, 50, 16261, -820, , , , , 
576282.0, IMU_DATA, 108, -161, -20, 41, 16261, -807, , , , , 
581082.0, IMU_DATA, 96, -153, -27, 32, 16271, -799, , , , , 
585882.0, IMU_DATA, 100, -147, -27, 48, 16275, -803, , , , , 
590682.0, IMU_DATA, 109, -146, -21, 53, 16274, -810, , , , , 
595482.0, IMU_DATA, 119, -157, -23, 73, 16284, -825, , , , , 
600282.0, IMU_DATA, 134, -172, -26, 79, 16286, -823, , , , , 
605082.0, IMU_DATA, 132, -171, -40, 67, 16279, -794, , , , , 
609882.0, IMU_DATA, 112, -158, -35, 72, 16284, -820, , , , , 
614682.0, IMU_DATA, 79, -139, -17, 71, 16283, -807, , , , , 
619482.0, IMU_DATA, 81, -132, -18, 55, 16270, -796, , , , , 
624282.0, IMU_DATA, 90, -118, -26, 77, 16278, -810, , , , , 
629082.0, IMU_DATA, 94, -123, -21, 56, 16291, -798, , , , , 
633882.0, IMU_DATA, 115, -146, -18, 29, 16289, -778, , , , , 
638682.0, IMU_DATA, 108, -155, -17, 32, 16284, -789, , , , , 
643482.0, IMU_DATA, 115, -166, -24, 52, 16253, -787, , , , , 
648282.0, IMU_DATA, 129, -174, -22, 71, 16273, -793, , , , , 
613165, IMG_DATA, , , , , , , , , , Image_00006 
653082.0, IMU_DATA, 128, -176, -18, 57, 16263, -807, , , , , 
657882.0, IMU_DATA, 126, -168, -22, 62, 16264, -793, , , , , 
662682.0, IMU_DATA, 120, -160, -35, 59, 16280, -796, , , , , 
667482.0, IMU_DATA, 117, -160, -39, 45, 16298, -809, , , , , 
672282.0, IMU_DATA, 113, -168, -28, 58, 16274, -818, , , , , 
677082.0, IMU_DATA, 124, -160, -24, 46, 16285, -804, , , , , 
681882.0, IMU_DATA, 120, -145, -24, 45, 16273, -792, , , , , 
686682.0, IMU_DATA, 107, -148, -20, 31, 16266, -796, , , , , 
691482.0, IMU_DATA, 121, -170, -17, 60, 16261, -789, , , , , 
696282.0, IMU_DATA, 129, -176, -18, 60, 16287, -801, , , , , 
701082.0, IMU_DATA, 108, -148, -12, 72, 16298, -795, , , , , 
